"";"shan";"aspt";"poly";"ovov";"rich";"typo";"RR"
"I5116650060911";2,34638168697045;6;0,508987197884284;0,251921833673929;21;49;"IRR T"
"I5116650090709";2,66998719564223;5,86666666666667;0,439558687537994;0,204947669796592;29;49;"IRR T"
"I5116650170810";2,85466163931855;5,90909090909091;0,315009785766816;0,142119349182677;29;49;"IRR T"
"I5116650210808";1,93665095665972;5,64705882352941;0,443454266369518;0,207922631844469;24;49;"IRR T"
"I5116650220813";2,66733059251862;5,30769230769231;0,36580408927882;0,161328555686842;35;49;"IRR T"
"I5117500040810";2,59542205772508;6,94117647058824;0,388849033195124;0,112776349529138;35;49;"IRR T"
"I5117500100811";3,00441505421025;5,625;0,38251602622756;0,207840708702117;36;49;"IRR T"
"I5117500220709";1,83080202995106;6,5;0,345044821004114;0,139803550219152;39;49;"LIRR T"
"I5117500280708";1,84049375268797;4;0,479799670499832;0,227334463715726;20;49;"IRR T"
"I5118000090709";1,1115033089299;5,33333333333333;0,412858317735646;0,270035348283866;23;49;"IRR T"
"I5118000170810";2,65141101397817;6,14285714285714;0,41167266150708;0,170049641601039;30;49;"IRR T"
"I5118000210808";1,79066281339678;5,6875;0,452721907809705;0,244366623264945;25;49;"IRR T"
"I5118000220813";3,1054001909526;6,5;0,312240230077467;0,172219234912814;35;49;"IRR T"
"I5118893050810";1,80297729902441;4,71428571428571;0,468268185523081;0,230000498163218;18;50;"IRR T"
"I5118893150713";1,27138521467294;3,28571428571429;0,560371006265573;0,252326847796408;10;50;"IRR T"
"I5118893210709";2,18138085201361;5,77777777777778;0,340040266293546;0,110451029612949;20;50;"IRR T"
"I5118893280708";1,39541885213103;5,11111111111111;0,591558884157333;0,228559294612304;18;50;"IRR T"
"I5118900020909";1,55861739230645;5,63636363636364;0,383441840416939;0,207645706559714;45;49;"IRR T"
"I5119040270809";2,54405958501361;5,44444444444444;0,402923367964839;0,213704822074255;44;50;"IRR T"
"I5119050010813";3,18460812253741;6,05263157894737;0,410431262671494;0,183611103273044;38;50;"IRR T"
"I5119050040810";2,86258382992989;5,5;0,480662420562327;0,160322625859878;37;50;"IRR T"
"I5119050150911";3,2727853148342;5,91666666666667;0,366325682167456;0,178372829046979;38;50;"IRR T"
"I5119050180712";3,0235296454067;6;0,418949036370126;0,158859951031632;44;50;"IRR T"
"I5119050220709";3,02752128537097;5,73333333333333;0,427127240280981;0,117454699242143;38;50;"IRR T"
"I5119050280708";2,18080639791849;5,91666666666667;0,538547620338581;0,172112891726455;17;50;"IRR T"
"I5119065010807";1,73844916033918;5,16666666666667;0,463048540607628;0,270413520343306;34;50;"IRR T"
"I5119065150812";2,75850294565709;5,5625;0,383400806901434;0,33094341910259;29;50;"IRR T"
"I5119065220708";2,19872520593622;5;0,451823089391731;0,21821866672181;20;50;"IRR T"
"I5119065220713";2,97063716933574;5;0,455913746512185;0,266631372293217;32;50;"IRR T"
"I5119065240811";1,44834635887613;5,35;0,387490126305808;0,315232758597295;36;50;"IRR T"
"I5119065270509";3,01174965183332;5,625;0,397191146238171;0,177154323515102;43;50;"IRR T"
"I5119065290610";2,18688849134233;4,2;0,459010419598921;0,266763505080747;19;50;"IRR T"
"I5120000020908";3,92032516509499;5,69565217391304;0,368487368748679;0,145137430012934;49;48;"IRR T"
"I5120000020910";4,02427897232609;5,72;0,360519232758904;0,160938263289105;51;48;"IRR T"
"I5120000040912";3,71607164595266;6,34782608695652;0,295015834664569;0,0842781189091704;51;48;"IRR T"
"I5120000120913";4,11231726195514;5,96428571428571;0,309190208369135;0,118553798765209;51;48;"IRR T"
"I5120000230709";4,06722414526693;5,5;0,365438317781032;0,0917063692980845;51;48;"IRR T"
"I5120005280809";2,65850275131824;4,77777777777778;0,442517629670431;0,240203353209812;37;49;"IRR T"
"I5120010040912";2,99277880365956;5,4;0,400756385089175;0,213374477649858;46;49;"IRR T"
"I5120010220708";2,37562046487165;5,25;0,517850534718033;0,261334189643457;25;49;"IRR T"
"I5120010220709";2,12741841493793;5,5;0,545307343426993;0,199967396750564;28;49;"IRR T"
"I5120010230713";2,43459767629388;5,76190476190476;0,414530718249726;0,201310972383706;47;49;"IRR T"
"I5120010240810";3,76449159797761;4,73913043478261;0,38281478794774;0,139625463915486;39;49;"IRR T"
"I5120085060810";3,70677625809676;6,72222222222222;0,299585947849589;0,0860998369086444;41;49;"IRR T"
"I5120085070708";2,22534886664405;6;0,363818557820121;0,122702839476142;24;49;"IRR T"
"I5120085160812";3,7208688706178;6,3448275862069;0,310924700859143;0,10701628846656;57;49;"IRR T"
